Augmentation,RepRequired,BasePrice,CurrentPrice,Category,AvailableFrom,Prereqs,Hacking_Deviation,Reputation_Deviation,MoneyWork_Deviation,Hacknet_Deviation,Combat_Deviation,Charisma_Deviation,Bladeburner_Deviation,Other_Deviation,Hacking_ValueDensity,Reputation_ValueDensity,MoneyWork_ValueDensity,Hacknet_ValueDensity,Combat_ValueDensity,Charisma_ValueDensity,Bladeburner_ValueDensity,Other_ValueDensity,hacking,hacking_chance,hacking_speed,hacking_money,hacking_grow,hacking_exp,faction_rep,company_rep,work_money,crime_money,crime_success,hacknet_node_money,hacknet_node_purchase_cost,hacknet_node_ram_cost,hacknet_node_core_cost,hacknet_node_level_cost,strength,strength_exp,defense,defense_exp,dexterity,dexterity_exp,agility,agility_exp,charisma,charisma_exp,bladeburner_max_stamina,bladeburner_stamina_gain,bladeburner_analysis,bladeburner_success_chance,dnet_money
Stanek's Gift - Genesis,0,0,0,Charisma; Combat; Hacking; Hacknet; MoneyWork; Reputation,Church of the Machine God,,0.6,0.2,0.3,0.5,0.8,0.2,,,0.6,0.2,0.3,0.5,0.8,0.2,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,
NeuroFlux Governor,500,1500000,1500000,Charisma; Combat; Hacking; Hacknet; MoneyWork; Reputation,Illuminati; Daedalus; The Covenant; ECorp; MegaCorp; Bachman & Associates; Blade Industries; NWO; Clarke Incorporated; OmniTek Incorporated; Four Sigma; KuaiGong International; Fulcrum Secret Technologies; BitRunners; NiteSec; Aevum; Chongqing; Ishima; New Tokyo; Sector-12; Volhaven; Speakers for the Dead; The Dark Army; The Syndicate; Silhouette; Tetrads; Slum Snakes; Netburners; Tian Di Hui; CyberSec,,0.060016,0.020005,0.030008,0.049617,0.080021,0.020005,,,0.00012003,4.001e-05,6.002e-05,9.923e-05,0.00016004,4.001e-05,,,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,0.990096,0.990096,0.990096,0.990096,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,1.010003,,,,,
Neurotrainer I,1000,8000000,8000000,Charisma; Combat; Hacking,CyberSec; Aevum; The Black Hand,,0.1,,,,0.4,0.1,,,0.0001,,,,0.0004,0.0001,,,,,,,,1.1,,,,,,,,,,,,1.1,,1.1,,1.1,,1.1,,1.1,,,,,
EsperTech Bladeburner Eyewear,1250,330000000,330000000,Bladeburner; Combat,Bladeburners,,,,,,0.05,,0.03,,,,,,4e-05,,2.4e-05,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,1.03,
The Blade's Simulacrum,1250,300000000000,300000000000,,Bladeburners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wired Reflexes,1250,5000000,5000000,Combat,Tian Di Hui; Slum Snakes; Sector-12; Volhaven; Aevum; Ishima; The Syndicate; The Dark Army; Speakers for the Dead; The Black Hand,,,,,,0.1,,,,,,,,8e-05,,,,,,,,,,,,,,,,,,,,,,,,1.05,,1.05,,,,,,,,
LuminCloaking-V1 Skin Implant,1500,10000000,10000000,Charisma; Combat; MoneyWork,Slum Snakes; Tetrads; The Black Hand,,,,0.1,,0.05,0.03,,,,,6.667e-05,,3.333e-05,2e-05,,,,,,,,,,,,1.1,,,,,,,,,,,,,1.05,,1.03,,,,,,
Hacknet Node NIC Architecture Neural-Upload,1875,9000000,9000000,Hacknet,Netburners; The Black Hand,,,,,0.2,,,,,,,,0.00010667,,,,,,,,,,,,,,,,1.1,0.9,,,,,,,,,,,,,,,,,,
Synaptic Enhancement Implant,2000,15000000,15000000,Hacking,CyberSec; Aevum; The Black Hand,,0.03,,,,,,,,1.5e-05,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMS-4 Recombination,2500,550000000,550000000,Bladeburner,Bladeburners,,,,,,,,0.1,,,,,,,,4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.05,1.03,
Hacknet Node Cache Architecture Neural-Upload,2500,11000000,11000000,Hacknet,Netburners,,,,,0.25,,,,,,,,0.0001,,,,,,,,,,,,,,,,1.1,,,,0.85,,,,,,,,,,,,,,,
Speech Enhancement,2500,25000000,25000000,Charisma; Reputation,Tian Di Hui; Speakers for the Dead; Four Sigma; KuaiGong International; Clarke Incorporated; Bachman & Associates; The Black Hand,,,0.1,,,,0.1,,,,4e-05,,,,4e-05,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,1.1,,,,,,
ADR-V1 Pheromone Gene,3750,35000000,35000000,Charisma; Reputation,Tian Di Hui; The Syndicate; NWO; MegaCorp; Four Sigma; The Black Hand,,,0.2,,,,0.05,,,,5.333e-05,,,,1.333e-05,,,,,,,,,1.1,1.1,,,,,,,,,,,,,,,,,,1.05,,,,,
BitWire,3750,20000000,20000000,Hacking,CyberSec; NiteSec; The Black Hand,,0.05,,,,,,,,1.333e-05,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacknet Node CPU Architecture Neural-Upload,3750,22000000,22000000,Hacknet,Netburners,,,,,0.3,,,,,,,,8e-05,,,,,,,,,,,,,,,,1.15,0.85,,,,,,,,,,,,,,,,,,
Augmented Targeting I,5000,30000000,30000000,Combat,Slum Snakes; The Dark Army; The Syndicate; Sector-12; Ishima; OmniTek Incorporated; KuaiGong International; Blade Industries; The Black Hand,,,,,,0.1,,,,,,,,2e-05,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,
LuminCloaking-V2 Skin Implant,5000,60000000,60000000,Charisma; Combat; MoneyWork,Slum Snakes; Tetrads; The Black Hand,LuminCloaking-V1 Skin Implant,,,0.25,,0.2,0.1,,,,,5e-05,,4e-05,2e-05,,,,,,,,,,,,1.25,,,,,,,,,1.1,,,,1.1,,,1.1,,,,,
Neural Wit Amplifier,5000,20000000,20000000,Charisma; Reputation,Slum Snakes; BitRunners; The Black Hand,,,0.05,,,,0.08,,,,1e-05,,,,1.6e-05,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,1.03,1.05,,,,,
Nuoptimal Nootropic Injector Implant,5000,40000000,40000000,Charisma; Reputation,Tian Di Hui; Volhaven; New Tokyo; Chongqing; Clarke Incorporated; Four Sigma; Bachman & Associates; The Black Hand,,,0.2,,,,0.03,,,,4e-05,,,,6e-06,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,1.03,,,,,,
Artificial Synaptic Potentiation,6250,160000000,160000000,Hacking,The Black Hand; NiteSec,,0.12,,,,,,,,1.92e-05,,,,,,,,,1.05,1.02,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,
NutriGen Implant,6250,5000000,5000000,Combat,New Tokyo; The Black Hand,,,,,,0.8,,,,,,,,0.000128,,,,,,,,,,,,,,,,,,,,,1.2,,1.2,,1.2,,1.2,,,,,,,
ORION-MKIV Shoulder,6250,1100000000,1100000000,Bladeburner; Combat,Bladeburners,,,,,,0.15,,0.04,,,,,,2.4e-05,,6.4e-06,,,,,,,,,,,,,,,,,,1.05,,1.05,,1.05,,,,,,,,,1.04,
Social Negotiation Assistant (S.N.A),6250,60000000,60000000,Charisma; MoneyWork; Reputation,Tian Di Hui; The Black Hand,,,0.3,0.1,,,0.15,,,,4.8e-05,1.6e-05,,,2.4e-05,,,,,,,,,1.15,1.15,1.1,,,,,,,,,,,,,,,,,1.15,,,,,
Combat Rib I,7500,47500000,47500000,Combat,Slum Snakes; The Dark Army; The Syndicate; Volhaven; Ishima; OmniTek Incorporated; KuaiGong International; Blade Industries; The Black Hand,,,,,,0.2,,,,,,,,2.667e-05,,,,,,,,,,,,,,,,,,,,1.1,,1.1,,,,,,,,,,,,
Hacknet Node Kernel Direct-Neural Interface,7500,80000000,80000000,Hacknet,Netburners; The Black Hand,,,,,0.25,,,,,,,,3.333e-05,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,
INFRARET Enhancement,7500,60000000,60000000,Combat; MoneyWork,Ishima; The Black Hand,,,,0.35,,0.1,,,,,,4.667e-05,,1.333e-05,,,,,,,,,,,,,1.1,1.25,,,,,,,,,,1.1,,,,,,,,,,
Speech Processor Implant,7500,100000000,100000000,Charisma,Tian Di Hui; Chongqing; Sector-12; New Tokyo; Aevum; Ishima; Volhaven; Silhouette; The Black Hand,,,,,,,0.2,,,,,,,,2.667e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,
