Faction,Augmentation,RepRequired,CurrentPrice,Category,ValueDensity,AlsoUnlockedAtThisRepOrLess,CountAlsoUnlocked
Aevum,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
Aevum,Neurotrainer I,1000,8000000,Charisma; Combat; Hacking,0.0001,NeuroFlux Governor,1
Aevum,Wired Reflexes,1250,5000000,Combat,0.0,NeuroFlux Governor; Neurotrainer I,2
Aevum,Synaptic Enhancement Implant,2000,15000000,Hacking,1.5e-05,NeuroFlux Governor; Neurotrainer I; Wired Reflexes,3
Aevum,Speech Processor Implant,7500,100000000,Charisma,0.0,NeuroFlux Governor; Neurotrainer I; Wired Reflexes; Synaptic Enhancement Implant,4
Aevum,Neuralstimulator,50000,6000000000,Hacking,4.8e-06,NeuroFlux Governor; Neurotrainer I; Wired Reflexes; Synaptic Enhancement Implant; Speech Processor Implant,5
Aevum,PCMatrix,100000,4000000000,Charisma; Money/Work; Reputation,1.088e-05,NeuroFlux Governor; Neurotrainer I; Wired Reflexes; Synaptic Enhancement Implant; Speech Processor Implant; Neuralstimulator,6
Bachman & Associates,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
Bachman & Associates,Speech Enhancement,2500,25000000,Charisma; Reputation,4e-05,NeuroFlux Governor,1
Bachman & Associates,Nuoptimal Nootropic Injector Implant,5000,40000000,Charisma; Reputation,4e-05,NeuroFlux Governor; Speech Enhancement,2
Bachman & Associates,Neuralstimulator,50000,6000000000,Hacking,4.8e-06,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant,3
Bachman & Associates,ADR-V2 Pheromone Gene,62500,1100000000,Charisma; Reputation,6.4e-06,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator,4
Bachman & Associates,FocusWire,75000,1800000000,Charisma; Combat; Hacking; Money/Work; Reputation,4.67e-06,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator; ADR-V2 Pheromone Gene,5
Bachman & Associates,Enhanced Social Interaction Implant,375000,2750000000,Charisma,0.0,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator; ADR-V2 Pheromone Gene; FocusWire; SmartJaw,7
Bachman & Associates,SmartJaw,375000,5500000000,Charisma; Reputation,1.33e-06,NeuroFlux Governor; Speech Enhancement; Nuoptimal Nootropic Injector Implant; Neuralstimulator; ADR-V2 Pheromone Gene; FocusWire; Enhanced Social Interaction Implant,7
BitRunners,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
BitRunners,Neural Wit Amplifier,5000,20000000,Charisma; Reputation,1e-05,NeuroFlux Governor,1
BitRunners,Neurotrainer II,10000,90000000,Charisma; Combat; Hacking,1.5e-05,NeuroFlux Governor; Neural Wit Amplifier,2
BitRunners,Embedded Netburner Module,15000,500000000,Hacking,5.33e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II,3
BitRunners,Cranial Signal Processors - Gen III,50000,1100000000,Hacking,5.2e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module,4
BitRunners,Enhanced Myelin Sheathing,100000,2750000000,Hacking,2.1e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III,5
BitRunners,DataJack,112500,900000000,Hacking,2.22e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III; Enhanced Myelin Sheathing,6
BitRunners,Cranial Signal Processors - Gen IV,125000,2200000000,Hacking,3.76e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III; Enhanced Myelin Sheathing; DataJack,7
BitRunners,Embedded Netburner Module Core Implant,175000,5000000000,Hacking,1.71e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III; Enhanced Myelin Sheathing; DataJack; Cranial Signal Processors - Gen IV,8
BitRunners,Neural Accelerator,200000,3500000000,Hacking,2.25e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III; Enhanced Myelin Sheathing; DataJack; Cranial Signal Processors - Gen IV; Embedded Netburner Module Core Implant,9
BitRunners,Cranial Signal Processors - Gen V,250000,4500000000,Hacking,5.2e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III; Enhanced Myelin Sheathing; DataJack; Cranial Signal Processors - Gen IV; Embedded Netburner Module Core Implant; Neural Accelerator,10
BitRunners,Artificial Bio-neural Network Implant,275000,6000000000,Hacking,1.09e-06,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III; Enhanced Myelin Sheathing; DataJack; Cranial Signal Processors - Gen IV; Embedded Netburner Module Core Implant; Neural Accelerator; Cranial Signal Processors - Gen V,11
BitRunners,BitRunners Neurolink,875000,8750000000,Hacking,5.7e-07,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III; Enhanced Myelin Sheathing; DataJack; Cranial Signal Processors - Gen IV; Embedded Netburner Module Core Implant; Neural Accelerator; Cranial Signal Processors - Gen V; Artificial Bio-neural Network Implant,12
BitRunners,Embedded Netburner Module Core V2 Upgrade,1000000,9000000000,Hacking,6.3e-07,NeuroFlux Governor; Neural Wit Amplifier; Neurotrainer II; Embedded Netburner Module; Cranial Signal Processors - Gen III; Enhanced Myelin Sheathing; DataJack; Cranial Signal Processors - Gen IV; Embedded Netburner Module Core Implant; Neural Accelerator; Cranial Signal Processors - Gen V; Artificial Bio-neural Network Implant; BitRunners Neurolink,13
Blade Industries,NeuroFlux Governor,500,1500000,Charisma; Combat; Hacking; Hacknet; Money/Work; Reputation,0.00031929,,0
Blade Industries,Augmented Targeting I,5000,30000000,Combat,0.0,NeuroFlux Governor,1
Blade Industries,Combat Rib I,7500,47500000,Combat,0.0,NeuroFlux Governor; Augmented Targeting I,2
Blade Industries,Augmented Targeting II,8750,85000000,Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I,3
Blade Industries,Embedded Netburner Module,15000,500000000,Hacking,5.33e-06,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II,4
Blade Industries,Combat Rib II,18750,130000000,Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module,5
Blade Industries,Augmented Targeting III,27500,230000000,Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II,6
Blade Industries,Combat Rib III,35000,240000000,Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III,7
Blade Industries,Nanofiber Weave,37500,250000000,Charisma; Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III,8
Blade Industries,Bionic Spine,45000,250000000,Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave,9
Blade Industries,Bionic Legs,150000,750000000,Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave; Bionic Spine; HyperSight Corneal Implant,11
Blade Industries,HyperSight Corneal Implant,150000,5500000000,Charisma; Combat; Hacking,8.7e-07,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave; Bionic Spine; Bionic Legs,11
Blade Industries,Embedded Netburner Module Core Implant,175000,5000000000,Hacking,1.71e-06,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave; Bionic Spine; Bionic Legs; HyperSight Corneal Implant,12
Blade Industries,PC Direct-Neural Interface,375000,7500000000,Hacking; Reputation,1.01e-06,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave; Bionic Spine; Bionic Legs; HyperSight Corneal Implant; Embedded Netburner Module Core Implant,13
Blade Industries,Synfibril Muscle,437500,2250000000,Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave; Bionic Spine; Bionic Legs; HyperSight Corneal Implant; Embedded Netburner Module Core Implant; PC Direct-Neural Interface,14
Blade Industries,PC Direct-Neural Interface Optimization Submodule,500000,9000000000,Hacking; Reputation,1.7e-06,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave; Bionic Spine; Bionic Legs; HyperSight Corneal Implant; Embedded Netburner Module Core Implant; PC Direct-Neural Interface; Synfibril Muscle,15
Blade Industries,Neotra,562500,5750000000,Charisma; Combat,0.0,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave; Bionic Spine; Bionic Legs; HyperSight Corneal Implant; Embedded Netburner Module Core Implant; PC Direct-Neural Interface; Synfibril Muscle; PC Direct-Neural Interface Optimization Submodule,16
Blade Industries,Embedded Netburner Module Core V2 Upgrade,1000000,9000000000,Hacking,6.3e-07,NeuroFlux Governor; Augmented Targeting I; Combat Rib I; Augmented Targeting II; Embedded Netburner Module; Combat Rib II; Augmented Targeting III; Combat Rib III; Nanofiber Weave; Bionic Spine; Bionic Legs; HyperSight Corneal Implant; Embedded Netburner Module Core Implant; PC Direct-Neural Interface; Synfibril Muscle; PC Direct-Neural Interface Optimization Submodule; Neotra,17
Bladeburners,EsperTech Bladeburner Eyewear,1250,330000000,Bladeburner; Combat,0.0,The Blade's Simulacrum,1
